Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-06-22,99.720001,102.459999,98.730003,99.330002,99.330002,1482200,89
2022-06-23,100.190002,102.900002,96.839996,102.190002,102.190002,2197500,90
2022-06-24,103.730003,107.089996,102.580002,107,107,2563300,91
2022-06-27,108.660004,109.089996,103.894997,106.269997,106.269997,1639100,92
2022-06-28,106.349998,106.349998,98.610001,99,99,2539000,93
2022-06-29,97.639999,98.089996,93.709999,97.959999,97.959999,3052800,94
2022-06-30,96.949997,97.07,92.055,93.830002,93.830002,2399300,95
2022-07-01,94.68,97.629997,93.660004,97.519997,97.519997,1987500,96
2022-07-05,95.809998,104.879997,94.559998,104.830002,104.830002,2555600,97
2022-07-06,104.029999,105.349998,101.730003,102.870003,102.870003,1591900,98
2022-07-07,102.610001,106.099998,102.279999,105.830002,105.830002,1544100,99
2022-07-08,103.599998,106.160004,101.739998,104.239998,104.239998,1433700,100
2022-07-11,102.239998,103.158997,98.720001,99.150002,99.150002,1744400,101
2022-07-12,100.010002,102.169998,98.019997,99.580002,99.580002,1137600,102
2022-07-13,95.959999,100.339996,94.75,99.209999,99.209999,1443500,103
2022-07-14,98.059998,98.5,95.93,96.32,96.32,1335800,104
2022-07-15,97.809998,102.599998,96.580002,102.330002,102.330002,1608100,105
2022-07-18,104.449997,108,102.589996,103.57,103.57,1576200,106
2022-07-19,105.949997,108.964996,102.589996,108.68,108.68,1964500,107
2022-07-20,110,114.044998,109.315002,113.25,113.25,2075800,108
2022-07-21,112.660004,115.800003,111.699997,115.620003,115.620003,2381400,109
2022-07-22,113.190002,116.360001,110.199997,111.650002,111.650002,2046300,110
2022-07-25,110.599998,112.18,108.529999,110.419998,110.419998,1595500,111
2022-07-26,105.940002,107.349998,103.394997,103.970001,103.970001,2752600,112
2022-07-27,118.040001,121.639999,114.235001,116.610001,116.610001,7373300,113
2022-07-28,115.529999,117.247002,110.760002,114.589996,114.589996,2637400,114
2022-07-29,112.900002,115.349998,110.360001,113.019997,113.019997,1708100,115
2022-08-01,111.440002,115.834999,110.199997,115.349998,115.349998,1684000,116
2022-08-02,113.790001,117.18,113.419998,116,116,1116100,117
2022-08-03,117.599998,120.559998,116.57,120.459999,120.459999,1698500,118
2022-08-04,120.580002,124.629997,120.099998,122.400002,122.400002,1459200,119
2022-08-05,118.459999,120.559998,116.829002,118.730003,118.730003,1304100,120
2022-08-08,119.860001,123.415001,118.730003,119.699997,119.699997,998000,121
2022-08-09,118.230003,118.754997,113.639999,115.559998,115.559998,1090800,122
